"","x"
"1116","MTSS2"
"1117","POLR3F"
"1118","DAP3"
"1119","SYT11"
"1120","TOE1"
"1121","ZSWIM3"
"1122","RBM38"
"1123","ZBED3"
"1124","CPLANE2"
"1125","WASF3"
"1126","MPRIP"
"1127","SLC41A1"
"1128","POSTN"
"1129","RFC3"
"1130","TCEAL4"
"1131","BEX1"
"1132","EPHB2"
"1133","GSTT2B"
"1134","SLC2A11"
"1135","C1QTNF6"
"1136","KRBA1"
"1137","BTG1"
"1138","C12orf29"
"1139","IPO8"
"1140","LARS1"
"1141","CCDC59"
"1142","MICAL2"
"1143","HSD17B4"
"1144","DGLUCY"
"1145","LOXL2"
"1146","CTIF"
"1147","MBD2"
"1148","IRAK2"
"1149","CAMK1"
"1150","VHL"
"1151","ARL8B"
"1152","MEIS2"
"1153","GSTM3"
"1154","LAMTOR5"
"1155","TMEM106C"
"1156","IL6ST"
"1157","TIMM17A"
"1158","NARS1"
"1159","ANKRD16"
"1160","ECHDC3"
"1161","CCNH"
"1162","TMEM241"
"1163","KCTD1"
"1164","EMP1"
"1165","SOX5"
"1166","RAB33A"
"1167","SPOCD1"
"1168","GNL2"
"1169","AGO4"
"1170","BTF3L4"
"1171","FHOD3"
"1172","TPGS2"
"1173","PDGFRA"
"1174","GGACT"
"1175","COL4A2"
"1176","UBAC2"
"1177","NREP"
"1178","ANXA1"
"1179","CEMIP2"
"1180","PSAT1"
"1181","RNFT2"
"1182","P2RX4"
"1183","TRAFD1"
"1184","SRPK2"
"1185","ANKRD6"
"1186","CEP162"
"1187","SNX14"
"1188","NT5E"
"1189","LCA5"
"1190","MAP3K7"
"1191","NAT10"
"1192","ATP5MC2"
"1193","AVIL"
"1194","PAN2"
"1195","ZC3H10"
"1196","LTV1"
"1197","AHI1"
"1198","SMPD2"
"1199","RAB11FIP5"
"1200","SMYD5"
"1201","DYSF"
"1202","KCNMB4"
"1203","KIAA0513"
"1204","FBXL8"
"1205","PCNX2"
"1206","COG2"
"1207","ABCB10"
"1208","STX6"
"1209","RNASEL"
"1210","NIBAN1"
"1211","RC3H1"
"1212","CAB39"
"1213","REV1"
"1214","TSGA10"
"1215","MFSD9"
"1216","MRPS9"
"1217","ISCU"
"1218","ALDH1L2"
"1219","CKAP4"
"1220","FLNB"
"1221","NEK3"
"1222","THSD1"
"1223","LRCH1"
"1224","PHF11"
"1225","LMO7"
"1226","RCBTB2"
"1227","TNS3"
"1228","IGF2BP3"
"1229","GPNMB"
"1230","RAC1"
"1231","ZDHHC4"
"1232","BZW2"
"1233","HUS1"
"1234","TTYH3"
"1235","TTC5"
"1236","ZFHX2"
"1237","MTHFS"
"1238","ADAMTS7"
"1239","TM6SF1"
"1240","RSAD1"
"1241","VEZF1"
"1242","SCN2A"
"1243","GALNT5"
"1244","EPRS1"
"1245","VPS45"
"1246","SMPD4"
"1247","CCDC115"
"1248","GYPC"
"1249","CDK9"
"1250","TOR1A"
"1251","ANGPTL2"
"1252","CDK5RAP2"
"1253","SLC31A2"
"1254","SLC31A1"
"1255","STX17"
"1256","USP20"
"1257","ATP6V1G1"
"1258","TSTD2"
"1259","PSMB7"
"1260","XPA"
"1261","CTSV"
"1262","CCN3"
"1263","TLN1"
"1264","DNAJB5"
"1265","GRHPR"
"1266","ALDH1B1"
"1267","HINT2"
"1268","ZSCAN9"
"1269","PIM1"
"1270","GMPR"
"1271","TFAP2A"
"1272","TMEM14B"
"1273","TMEM63B"
"1274","SLC22A23"
"1275","TUBB2A"
"1276","TPMT"
"1277","MTCH1"
"1278","TAF8"
"1279","MGARP"
"1280","FCHSD2"
"1281","ARRB1"
"1282","CCDC90B"
"1283","LRRC32"
"1284","RNF121"
"1285","GGH"
"1286","SULF1"
"1287","CFAP300"
"1288","SLC37A4"
"1289","PPP2R1B"
"1290","C11orf1"
"1291","ARHGAP20"
"1292","SQOR"
"1293","THBS1"
"1294","MAPKBP1"
"1295","ITGA11"
"1296","HAUS2"
"1297","UACA"
"1298","TMEM62"
"1299","ADAM10"
"1300","GTF2B"
"1301","DYNC2LI1"
"1302","ACTR2"
"1303","PREB"
"1304","SLC5A6"
"1305","PREPL"
"1306","ATRAID"
"1307","LRPPRC"
"1308","MYOF"
"1309","TACC2"
"1310","ATIC"
"1311","METTL5"
"1312","HECW2"
"1313","ITGAV"
"1314","SLC49A4"
"1315","PARP9"
"1316","PPCDC"
"1317","ARHGAP24"
"1318","FAM13A"
"1319","PCDH10"
"1320","SEC31A"
"1321","FGF5"
"1322","FGF2"
"1323","BBS7"
"1324","RAP1GDS1"
"1325","NUP54"
"1326","BMP2K"
"1327","SEPTIN11"
"1328","SCARB2"
"1329","CNOT6L"
"1330","SHROOM3"
"1331","ANXA3"
"1332","PPA2"
"1333","CASP6"
"1334","PAPSS1"
"1335","SLC39A8"
"1336","RGS3"
"1337","GUCD1"
"1338","ETV6"
"1339","YARS2"
"1340","ETFBKMT"
"1341","ZCRB1"
"1342","CLSTN3"
"1343","TAPBPL"
"1344","AMIGO2"
"1345","LLPH"
"1346","GLIPR1"
"1347","TMEM19"
"1348","SDSL"
"1349","GLTP"
"1350","MTMR6"
"1351","SLC46A3"
"1352","SLC7A1"
"1353","LNX2"
"1354","SMARCC2"
"1355","BRCA2"
"1356","CERS5"
"1357","CSAD"
"1358","LMBR1L"
"1359","ESYT1"
"1360","ANKRD52"
"1361","ZNF740"
"1362","SETD1B"
"1363","VPS33A"
"1364","CBLN3"
"1365","NOVA1"
"1366","FRMD6"
"1367","PELI2"
"1368","ARMH4"
"1369","SLC38A6"
"1370","PTGR2"
"1371","JDP2"
"1372","SORD"
"1373","LYSMD2"
"1374","TLE3"
"1375","NEIL1"
"1376","TPM1"
"1377","SCAMP2"
"1378","GLYR1"
