"","x"
"2798","SIGIRR"
"2799","TCEAL9"
"2800","PRPF39"
"2801","CDNF"
"2802","CCDC137"
"2803","GAS2L1"
"2804","MAPK11"
"2805","SP140L"
"2806","MRPL30"
"2807","METTL7A"
"2808","FAM174B"
"2809","TMEM179B"
"2810","ROR1"
"2811","BRCC3"
"2812","TLCD2"
"2813","LSAMP"
"2814","OLFML2A"
"2815","PCGF3"
"2816","NDUFA4L2"
"2817","MYBL1"
"2818","MOSMO"
"2819","MORF4L1"
"2820","DMWD"
"2821","SLC52A2"
"2822","PCYT2"
"2823","BCAP31"
"2824","DNAH14"
"2825","TRIM69"
"2826","KLHDC8B"
"2827","PTCH1"
"2828","ZNF529"
"2829","C15orf41"
"2830","GSAP"
"2831","C2orf76"
"2832","POLR3C"
"2833","POLR1D"
"2834","MRTFB"
"2835","ZNF17"
"2836","TOR3A"
"2837","NAP1L3"
"2838","BACE1"
"2839","THBS2"
"2840","RXRA"
"2841","NUDT17"
"2842","ZNF75D"
"2843","KRT10"
"2844","BTN3A2"
"2845","C5orf38"
"2846","CEACAM19"
"2847","UBE2H"
"2848","ZFP91"
"2849","LYRM7"
"2850","HYAL3"
"2851","ZSCAN30"
"2852","TRABD2A"
"2853","TMEM17"
"2854","ZNF395"
"2855","PPARA"
"2856","AL162231.1"
"2857","SESTD1"
"2858","FNBP1"
"2859","DYNC2H1"
"2860","RSBN1L"
"2861","WDR86"
"2862","EPOR"
"2863","MAGI2"
"2864","C11orf96"
"2865","COL4A1"
"2866","HSPA14"
"2867","VMAC"
"2868","B3GLCT"
"2869","SPRY4"
"2870","TCEA1"
"2871","SEMA4D"
"2872","FANCM"
"2873","TMEM220"
"2874","EIF4EBP1"
"2875","CYHR1"
"2876","COL14A1"
"2877","MORN2"
"2878","S100A3"
"2879","ARL4C"
"2880","AGRN"
"2881","ZNF626"
"2882","COMMD6"
"2883","HES4"
"2884","ZNF559"
"2885","H2AX"
"2886","C19orf54"
"2887","CCDC9B"
"2888","CLN3"
"2889","ASAH2"
"2890","SUMO2"
"2891","RTL6"
"2892","S100A16"
"2893","UROS"
"2894","SPRED3"
"2895","SLX4"
"2896","FBF1"
"2897","FAM120AOS"
"2898","ALKBH2"
"2899","APOD"
"2900","SF3B3"
"2901","PLAC9"
"2902","BTBD8"
"2903","C15orf61"
"2904","KAZN"
"2905","SLC35E2B"
"2906","C8orf76"
"2907","BLOC1S2"
"2908","IL1RAP"
"2909","ZNF699"
"2910","CCDC189"
"2911","SPATS2L"
"2912","ZNF79"
"2913","ACADSB"
"2914","ZNF107"
"2915","PPIA"
"2916","ZNF471"
"2917","ZNF836"
"2918","IARS1"
"2919","CD55"
"2920","NTNG2"
"2921","NUDT11"
"2922","ASB13"
"2923","EPHB4"
"2924","NPIPB15"
"2925","MYL6B"
"2926","SLC6A9"
"2927","AFAP1"
"2928","NACA"
"2929","BORCS6"
"2930","MAN2A2"
"2931","ZNF846"
"2932","RABL6"
"2933","ERI2"
"2934","AMZ2"
"2935","S100A2"
"2936","STRN3"
"2937","ZNF239"
"2938","MVB12B"
"2939","ADA"
"2940","SCN8A"
"2941","PDLIM7"
"2942","FLNA"
