Species,Species_Details,Abbr,Abbr_Details,Name,Name_Details,Cell_Type,Well_Size,MSC_Media,Sample,Passage,Position,Absorbance_Rep,Absorbance_Value
Human,Human Adipocyte,H5,H5 Adipocyte,H21792,H21792 Adipocyte,Adipocyte,12W,2B,H5-A,p15+20+13,G7,3,0.504
Human,Human Adipocyte,H5,H5 Adipocyte,H21792,H21792 Adipocyte,Adipocyte,12W,2B,H5-A,p15+20+13,G8,4,0.272
Chimpanzee,Chimpanzee MSC,C6,C6 MSC,C3624,C3624 MSC,MSC,12W,3B,C6-M,p18+31+10,G9,1,0.28
Chimpanzee,Chimpanzee MSC,C6,C6 MSC,C3624,C3624 MSC,MSC,12W,3B,C6-M,p18+31+10,G10,2,0.286
Chimpanzee,Chimpanzee MSC,C6,C6 MSC,C3624,C3624 MSC,MSC,12W,3B,C6-M,p18+31+10,G11,3,0.286
Chimpanzee,Chimpanzee MSC,C6,C6 MSC,C3624,C3624 MSC,MSC,12W,3B,C6-M,p18+31+10,G12,4,0.185
Human,Human MSC,H6,H6 MSC,H20961,H20961 MSC,MSC,12W,3B,H6-M,p13+28+8,H1,1,0.284
Human,Human MSC,H6,H6 MSC,H20961,H20961 MSC,MSC,12W,3B,H6-M,p13+28+8,H2,2,0.294
Human,Human MSC,H6,H6 MSC,H20961,H20961 MSC,MSC,12W,3B,H6-M,p13+28+8,H3,3,0.309
Human,Human MSC,H6,H6 MSC,H20961,H20961 MSC,MSC,12W,3B,H6-M,p13+28+8,H4,4,0.193
Chimpanzee,Chimpanzee Adipocyte,C6,C6 Adipocyte,C3624,C3624 Adipocyte,Adipocyte,12W,3B,C6-A,p18+31+8,H5,1,0.412
Chimpanzee,Chimpanzee Adipocyte,C6,C6 Adipocyte,C3624,C3624 Adipocyte,Adipocyte,12W,3B,C6-A,p18+31+8,H6,2,0.445
Chimpanzee,Chimpanzee Adipocyte,C6,C6 Adipocyte,C3624,C3624 Adipocyte,Adipocyte,12W,3B,C6-A,p18+31+8,H7,3,0.417
Chimpanzee,Chimpanzee Adipocyte,C6,C6 Adipocyte,C3624,C3624 Adipocyte,Adipocyte,12W,3B,C6-A,p18+31+8,H8,4,0.267
Human,Human Adipocyte,H6,H6 Adipocyte,H20961,H20961 Adipocyte,Adipocyte,12W,3B,H6-A,p13+28+7,H9,1,0.586
Human,Human Adipocyte,H6,H6 Adipocyte,H20961,H20961 Adipocyte,Adipocyte,12W,3B,H6-A,p13+28+7,H10,2,0.581
Human,Human Adipocyte,H6,H6 Adipocyte,H20961,H20961 Adipocyte,Adipocyte,12W,3B,H6-A,p13+28+7,H11,3,0.563
Human,Human Adipocyte,H6,H6 Adipocyte,H20961,H20961 Adipocyte,Adipocyte,12W,3B,H6-A,p13+28+7,H12,4,0.292
