"","cell.subset","gene","logFC","FDR"
"284","Time 1","PRIM2",1.89718752538924,0.00422914805900181
"285","Time 2","PRIM2",1.67421684095333,0.00311470180403386
"286","Time 0","PSEN2",3.06592320307166,6.84177988396603e-07
"287","Time 1","PSEN2",3.61815868007373,0.000187092455347061
"288","Time 2","PSEN2",2.89551306456964,0.0027247973914691
"289","Time 0","RAB33B",-1.03414038655913,0.000233800833353882
"290","Time 1","RAB33B",-1.12895690890651,0.000260412954862398
"291","Time 2","RAB33B",-0.473312447589431,0.00652653264846556
"292","Time 0","RABL2B",1.45480868178157,0.000724382820901238
"293","Time 1","RABL2B",1.38966275263931,0.000176348589028434
"294","Time 2","RABL2B",1.6611570260051,0.000395749764792874
"295","Time 0","RAD52",-0.848922702059508,0.00874231778773595
"296","Time 1","RAD52",-1.30161463802402,0.000101805042353914
"297","Time 2","RAD52",-0.832584794844944,0.0025031041189955
"298","Time 0","RGS14",2.07158577505268,0.000972793584633314
"299","Time 1","RGS14",2.81551002179739,0.003904626417272
"300","Time 2","RGS14",3.05741574142507,0.00613531071639872
"301","Time 0","RNASEH1",1.40179738281454,3.34477156319309e-05
"302","Time 1","RNASEH1",1.29846677019803,7.69548107668196e-06
"303","Time 2","RNASEH1",1.43682966158041,0.00150187954940125
"304","Time 0","RRS1",2.53109190094746,2.31769941192778e-05
"305","Time 1","RRS1",3.0671428302142,0.000246654642912038
"306","Time 2","RRS1",2.79759571792776,0.000296879712083421
"307","Time 0","SAT2",-1.01773769557031,0.000288129576870959
"308","Time 1","SAT2",-1.11855677687803,0.00468587887264472
"309","Time 2","SAT2",-1.44260436500696,0.00215722413271858
"310","Time 0","SDCCAG8",1.72743782295239,0.00474089300769391
"311","Time 1","SDCCAG8",2.07973912765765,0.00403724937979337
"312","Time 2","SDCCAG8",1.65680721145971,0.00116498028239209
"313","Time 0","SDR39U1",1.64831731141765,6.70676011653822e-05
"314","Time 1","SDR39U1",0.999667729439653,0.00986566992507558
"315","Time 2","SDR39U1",1.15041983109294,0.00431599168023862
"316","Time 0","SENP3",-2.15957799024906,0.00025778452449077
"317","Time 1","SENP3",-2.35138723818908,0.000896383596156911
"318","Time 2","SENP3",-2.18065600916652,0.00459018761053023
"319","Time 0","SH3YL1",1.41159163492766,0.000940338247961464
"320","Time 1","SH3YL1",1.56667797114014,0.00808601854443379
"321","Time 2","SH3YL1",1.39775756400435,0.0027247973914691
"322","Time 0","SHLD2",3.56929245375456,0.000174376326402785
"323","Time 1","SHLD2",2.81608229469642,0.000239466584333702
"324","Time 2","SHLD2",2.66791528655661,7.53054595643543e-09
"325","Time 0","SIRT5",-1.21697971262952,0.00013432710268197
"326","Time 1","SIRT5",-1.51840810029479,0.000646433781759845
"327","Time 2","SIRT5",-1.12528992075025,0.00652653264846556
"328","Time 0","SLC25A51",1.60850550840291,3.97585524255769e-05
"329","Time 1","SLC25A51",1.57414665371201,0.000211041248877976
"330","Time 2","SLC25A51",1.53376077671509,0.0060739007647199
"331","Time 0","SLC27A5",3.25474690564564,4.26695982700788e-05
"332","Time 1","SLC27A5",2.98424380321224,0.00257520651536629
"333","Time 2","SLC27A5",3.05214061538641,0.000364386368544948
"334","Time 0","SLC52A2",1.09085867418365,0.000401294879004396
"335","Time 1","SLC52A2",1.05514250065644,0.00246600358176348
"336","Time 2","SLC52A2",0.826318729903339,0.00163400086419363
"337","Time 0","SLC66A2",1.68942630623403,0.000280657021921079
"338","Time 1","SLC66A2",1.6283566302533,0.00116112563652642
"339","Time 2","SLC66A2",0.978189221620209,0.00222571598460425
"340","Time 0","SLC6A8",8.42739197241114,9.88976755775585e-07
"341","Time 1","SLC6A8",9.4761446285365,6.39978776140057e-06
"342","Time 2","SLC6A8",9.05620058108649,2.17418788402673e-06
"343","Time 0","SNRNP40",1.42393254081561,0.000520797209257272
"344","Time 1","SNRNP40",1.20855416818326,0.00164459804784055
"345","Time 2","SNRNP40",1.00738305929536,0.00436998159005282
"346","Time 0","SNX3",1.07984141403954,6.03249345674461e-05
"347","Time 1","SNX3",1.17900631561623,0.000558040653876477
"348","Time 2","SNX3",1.04232277011467,0.00814887908282727
"349","Time 0","SPA17",1.83648869092899,0.000157292937300427
"350","Time 1","SPA17",3.02676114989904,0.000612654067782497
"351","Time 2","SPA17",2.64968480132356,0.000814105319288237
"352","Time 0","SPATA33",1.50537308714054,4.55242934325379e-05
"353","Time 1","SPATA33",1.47922982977776,0.000117925047868789
"354","Time 2","SPATA33",1.31286505494991,0.000701892175865798
"355","Time 0","SPATC1L",2.43018595720121,0.000112731830200314
"356","Time 1","SPATC1L",3.26077991216404,0.00122004244978296
"357","Time 2","SPATC1L",2.9288087969478,0.000508289429162333
"358","Time 0","SRRD",3.03904614526675,9.98684842624717e-07
"359","Time 1","SRRD",2.78776136873397,5.54677680828508e-07
"360","Time 2","SRRD",2.79980160717773,3.02129101565962e-07
"361","Time 0","STYXL1",2.85415371747176,6.78774330158457e-05
"362","Time 1","STYXL1",2.45025017846309,2.30037679327776e-05
"363","Time 2","STYXL1",2.42196394175645,0.000644578066400872
"364","Time 0","TCTN3",0.764659557485111,8.1038057981477e-05
"365","Time 1","TCTN3",1.57370099074959,0.000650096009112682
"366","Time 2","TCTN3",1.47319089361501,0.000278131812010279
"367","Time 0","THAP4",1.06430738571429,0.000112205243319832
"368","Time 1","THAP4",1.11494520046325,0.00263831093413032
"369","Time 2","THAP4",1.06982789204587,0.000469449971352708
"370","Time 0","TKFC",-1.16914279580335,0.00225975499752691
"371","Time 1","TKFC",-1.47335914191352,0.00603998594023605
"372","Time 2","TKFC",-0.954757304561254,0.0040063843714301
"373","Time 0","TLCD5",1.89072662733816,3.68250339394136e-06
"374","Time 1","TLCD5",1.92903247347067,0.000706260258961099
"375","Time 2","TLCD5",1.97070059397512,0.000296879712083421
"376","Time 0","TMEM138",1.7177158175136,4.70236836630571e-06
